pert_id	pert_iname	Toxicity
BRD-K38449220	seneciphylline	YES_Toxicity
BRD-K25741894	skimmianine	YES_Toxicity
BRD-K85015012	NNC-05-2090	NO_Toxicity
BRD-K22503835	scriptaid	NO_Toxicity
BRD-K10843433	phenylbutazone	YES_Toxicity
BRD-K92492521	LY-255283	NO_Toxicity
BRD-K15402119	huperzine-a	YES_Toxicity
BRD-K78692225	leflunomide	YES_Toxicity
BRD-K94689771	pinocembrin	NO_Toxicity
BRD-K03384561	roquinimex	NO_Toxicity
BRD-K97365803	PI-828	YES_Toxicity
BRD-K52172416	anastrozole	NO_Toxicity
BRD-K67013324	luzindole	NO_Toxicity
BRD-K76568384	PHTPP	YES_Toxicity
BRD-K79090631	CGP-60474	NO_Toxicity
BRD-K47761761	PD-168077	NO_Toxicity
BRD-K95435023	PHA-665752	NO_Toxicity
BRD-K76274772	MAPP-D-erythro	NO_Toxicity
BRD-A70268693	PG-9	YES_Toxicity
BRD-K84987553	MDM2-inhibitor	NO_Toxicity
BRD-K13390322	AT-7519	NO_Toxicity
BRD-K14550461	doxercalciferol	YES_Toxicity
BRD-A35519318	benidipine	YES_Toxicity
BRD-K97863768	prothionamide	NO_Toxicity
BRD-K15791587	L-733060	NO_Toxicity
BRD-K82865713	prostaglandin-b2	NO_Toxicity
BRD-K85030058	benactyzine	YES_Toxicity
BRD-K99029477	prometon	NO_Toxicity
BRD-K81029756	diltiazem	YES_Toxicity
BRD-K01648091	LE-300	YES_Toxicity
BRD-A44551378	LFM-A12	NO_Toxicity
BRD-K95785537	PP-2	YES_Toxicity
BRD-A47706533	buthionine-sulfoximine	NO_Toxicity
BRD-A17448384	beclometasone	NO_Toxicity
BRD-K33864865	LY-225910	NO_Toxicity
BRD-A95096829	PNU-96415E	NO_Toxicity
BRD-K78637815	LY-320135	NO_Toxicity
BRD-K79759031	artesunate	NO_Toxicity
BRD-K06234293	LY-364947	YES_Toxicity
BRD-A94709349	metaxalone	NO_Toxicity
BRD-A41145729	methoprene-acid	NO_Toxicity
BRD-K11163873	phenanthridone	NO_Toxicity
BRD-A23683907	NAS-181	NO_Toxicity
BRD-A87719232	naproxen	YES_Toxicity
BRD-K77771411	moxonidine	YES_Toxicity
BRD-K40990712	hexamethyleneamiloride	NO_Toxicity
BRD-K44899736	Ro-16-6941	NO_Toxicity
BRD-A21723284	naltriben	NO_Toxicity
BRD-K48935217	epothilone	YES_Toxicity
BRD-A41833852	naloxone	NO_Toxicity
BRD-K82164249	andarine	NO_Toxicity
BRD-K69195780	NAN-190	NO_Toxicity
BRD-K10136726	tosyllysyl-chloromethyl-ketone	NO_Toxicity
BRD-A89337244	PD-102807	YES_Toxicity
BRD-A25569250	KI-16425	NO_Toxicity
BRD-A50928468	norgestrel	NO_Toxicity
BRD-A00758722	noretynodrel	NO_Toxicity
BRD-A39415247	norethisterone	NO_Toxicity
BRD-A35338386	NECA	YES_Toxicity
BRD-K16621777	enobosarm	NO_Toxicity
BRD-K05181084	NGB-2904	YES_Toxicity
BRD-K88625236	nonoxynol-9	NO_Toxicity
BRD-K51967704	BIIB-021	YES_Toxicity
BRD-K11636097	JNJ-7706621	YES_Toxicity
BRD-K90789829	nefazodone	NO_Toxicity
BRD-A13807286	HA-14-1	NO_Toxicity
BRD-K76775527	nimesulide	YES_Toxicity
BRD-A44780397	mifepristone	NO_Toxicity
BRD-K18855837	varenicline	YES_Toxicity
BRD-A03623303	metoprolol	NO_Toxicity
BRD-K40992116	parachlorophenol	YES_Toxicity
BRD-K49810818	sorafenib	YES_Toxicity
BRD-K51816706	oxindole-I	NO_Toxicity
BRD-K86958018	olvanil	YES_Toxicity
BRD-K82731415	olomoucine	NO_Toxicity
BRD-M07438658	lapatinib	YES_Toxicity
BRD-K85318537	OBAA	YES_Toxicity
BRD-A32949107	MRS-1845	NO_Toxicity
BRD-K33312228	halometasone	NO_Toxicity
BRD-K92428153	mycophenolate-mofetil	NO_Toxicity
BRD-K05926469	lenalidomide	NO_Toxicity
BRD-K18316707	O-1918	NO_Toxicity
BRD-K23984367	sorafenib	YES_Toxicity
BRD-K80334323	noretynodrel	NO_Toxicity
BRD-K63165456	norcyclobenzaprine	YES_Toxicity
BRD-A59985574	topotecan	YES_Toxicity
BRD-K94441233	mevastatin	NO_Toxicity
BRD-K46652470	nizatidine	YES_Toxicity
BRD-A95696066	nisoxetine	YES_Toxicity
BRD-K88429204	pyrimethamine	YES_Toxicity
BRD-K40656405	L-165041	NO_Toxicity
BRD-A14566392	scopolamine	YES_Toxicity
BRD-K48932581	cetraxate	NO_Toxicity
BRD-K25875056	SC-9	NO_Toxicity
BRD-A00267231	hemado	YES_Toxicity
BRD-K67298865	SB-431542	NO_Toxicity
BRD-A75172220	hydrocortisone	NO_Toxicity
BRD-A25143711	hydrocortisone-valerate	NO_Toxicity
BRD-A06390036	hydroquinidine	NO_Toxicity
BRD-K76805682	SB-415286	NO_Toxicity
BRD-K86595100	chlordiazepoxide	YES_Toxicity
BRD-K07996107	harpagoside	NO_Toxicity
BRD-K41567364	SB-334867	YES_Toxicity
BRD-K37691127	hinokitiol	NO_Toxicity
BRD-K54330070	SB-202190	NO_Toxicity
BRD-K24201553	SB-269970	NO_Toxicity
BRD-A15010982	HU-211	NO_Toxicity
BRD-K71003802	hippeastrine	YES_Toxicity
BRD-K07325606	hispidin	NO_Toxicity
BRD-K90733503	cephalexin	NO_Toxicity
BRD-K87573634	propylpyrazole	NO_Toxicity
BRD-K56001384	antimycin-a	YES_Toxicity
BRD-K61269089	daphnetin	NO_Toxicity
BRD-K26669427	WR-216174	YES_Toxicity
BRD-K16406336	methylene-blue	YES_Toxicity
BRD-A82371568	clofarabine	NO_Toxicity
BRD-A68930007	ouabain	YES_Toxicity
BRD-K74284736	L-689560	NO_Toxicity
BRD-A35989968	megestrol-acetate	NO_Toxicity
BRD-K44432556	VU-0418946-1	YES_Toxicity
BRD-A24429032	BE-2254	NO_Toxicity
BRD-K99621550	tubocurarine	YES_Toxicity
BRD-K28143534	cyproheptadine	YES_Toxicity
BRD-A41722204	sulmazole	YES_Toxicity
BRD-K04853698	LDN-193189	YES_Toxicity
BRD-K13800121	parecoxib	NO_Toxicity
BRD-A80383043	4-carboxy-3-hydroxyphenylglycine-(RS)	NO_Toxicity
BRD-K21672174	Ro-28-1675	NO_Toxicity
BRD-A60414806	vincristine	NO_Toxicity
BRD-K46742498	alosetron	NO_Toxicity
BRD-A55756846	H-7	NO_Toxicity
BRD-K32710582	EI-247	YES_Toxicity
BRD-A69927616	isradipine	YES_Toxicity
BRD-K21806131	tegaserod	NO_Toxicity
BRD-K11433652	aspirin	YES_Toxicity
BRD-K37130656	rivaroxaban	NO_Toxicity
BRD-A67748489	K-858	NO_Toxicity
BRD-A20527803	IB-MECA	NO_Toxicity
BRD-A45333398	periplocymarin	YES_Toxicity
BRD-K92678294	irilin-a	NO_Toxicity
BRD-K54987996	CAY-10578	NO_Toxicity
BRD-K92726801	hydrastinine	NO_Toxicity
BRD-A67438293	treprostinil	NO_Toxicity
BRD-A37704979	SB-203580	NO_Toxicity
BRD-K46469693	SCH-442416	YES_Toxicity
BRD-K70578146	dactinomycin	YES_Toxicity
BRD-K27737647	H-89	NO_Toxicity
BRD-A49906757	scopolamine-n-oxide	NO_Toxicity
BRD-K46441700	GR-55562	YES_Toxicity
BRD-A10715913	sulpiride	NO_Toxicity
BRD-K97354755	SU-6656	YES_Toxicity
BRD-K63504947	semaxanib	NO_Toxicity
BRD-K60487568	SU-4312	NO_Toxicity
BRD-K20287671	SU-4312	NO_Toxicity
BRD-K82983861	GW-0742	NO_Toxicity
BRD-K48115423	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	NO_Toxicity
BRD-K22947005	dexbrompheniramine	YES_Toxicity
BRD-K61217870	N-(3-acetamidophenyl)-3-chlorobenzamide	NO_Toxicity
BRD-K30697463	desoximetasone	NO_Toxicity
BRD-K01567962	pyrazolanthrone	NO_Toxicity
BRD-A09828896	SKF-81297	YES_Toxicity
BRD-A72596465	GW-6471	NO_Toxicity
BRD-K73824630	skatole	NO_Toxicity
BRD-K92758126	MD-920	NO_Toxicity
BRD-K42693031	glimepiride	NO_Toxicity
BRD-A86109770	guggulsterone	NO_Toxicity
BRD-K74761218	WT-171	YES_Toxicity
BRD-K98157055	SIB-1757	YES_Toxicity
BRD-K04993501	cefixime	NO_Toxicity
BRD-K40619305	larixinic-acid	YES_Toxicity
BRD-A42553870	L-152804	NO_Toxicity
BRD-K39356024	pregnenolone	NO_Toxicity
BRD-K56596464	QX-314	YES_Toxicity
BRD-K59632282	quinidine	YES_Toxicity
BRD-K15086322	JNJ-10191584	NO_Toxicity
BRD-K64670467	JNJ-16259685	NO_Toxicity
BRD-K63150726	JTE-907	NO_Toxicity
BRD-A19053259	pseudopelletierine	NO_Toxicity
BRD-K17796732	JWH-015	NO_Toxicity
BRD-K26521938	dinoprostone	NO_Toxicity
BRD-K17743697	KB-R7943	YES_Toxicity
BRD-A54927599	KF-38789	YES_Toxicity
BRD-K60511616	pravastatin	NO_Toxicity
BRD-K52735702	cefdinir	NO_Toxicity
BRD-K19462402	buflomedil	YES_Toxicity
BRD-A74771556	nikkomycin	NO_Toxicity
BRD-K87990216	piretanide	NO_Toxicity
BRD-A58207013	pinacidil	YES_Toxicity
BRD-K37312348	kenpaullone	NO_Toxicity
BRD-A94543220	bifonazole	NO_Toxicity
BRD-A37817666	picrotoxin	NO_Toxicity
BRD-K31471398	dihydrexidine	NO_Toxicity
BRD-K89402695	L-655240	YES_Toxicity
BRD-K14765469	vesamicol	YES_Toxicity
BRD-K95676198	JAK3-inhibitor-V	NO_Toxicity
BRD-K49372556	mofezolac	NO_Toxicity
BRD-K15588452	R-96544	NO_Toxicity
BRD-K26429091	J-104129	NO_Toxicity
BRD-K88871508	lisuride	YES_Toxicity
BRD-K09638361	IC-261	YES_Toxicity
BRD-K73290745	ICI-199441	NO_Toxicity
BRD-A49370193	Ro-60-0175	NO_Toxicity
BRD-K80778372	Ro-19-4605	NO_Toxicity
BRD-K01815685	indole-3-carbinol	NO_Toxicity
BRD-M47937986	cefatrizine	NO_Toxicity
BRD-M62162320	rilmenidine	YES_Toxicity
BRD-K32755366	reserpic-acid	YES_Toxicity
BRD-K09485525	GANT-61	NO_Toxicity
BRD-K06198550	isorotenone	YES_Toxicity
BRD-K87510569	RS-504393	YES_Toxicity
BRD-K80725821	RS-16566	NO_Toxicity
BRD-K51918615	iodophenpropit	YES_Toxicity
BRD-K34330170	rotenonic-acid	YES_Toxicity
BRD-A59174698	ritodrine	NO_Toxicity
BRD-K93332168	isocarboxazid	YES_Toxicity
BRD-K21853356	RG-14620	NO_Toxicity
BRD-K89626439	sirolimus	NO_Toxicity
BRD-K70505054	ranitidine	YES_Toxicity
BRD-K64402243	ivachtin	NO_Toxicity
BRD-A84205515	estriol	NO_Toxicity
BRD-K69600043	thiethylperazine	NO_Toxicity
BRD-K32645441	dipropyl-5ct	NO_Toxicity
BRD-K86161929	cortisone	NO_Toxicity
BRD-A23072235	pheniramine	YES_Toxicity
BRD-K05804044	AZ-628	NO_Toxicity
BRD-A75552914	isoxicam	NO_Toxicity
BRD-K78431006	crizotinib	NO_Toxicity
BRD-K70401845	erlotinib	YES_Toxicity
BRD-A39230911	chlorphenesin-carbamate	NO_Toxicity
BRD-K55044200	amoxicillin	NO_Toxicity
BRD-K53737926	amitriptyline	YES_Toxicity
BRD-K32318651	acyclovir	NO_Toxicity
BRD-A97701745	pindolol	YES_Toxicity
BRD-K77641333	naphazoline	YES_Toxicity
BRD-K20655524	mefexamide	YES_Toxicity
BRD-K55127134	fluphenazine	YES_Toxicity
BRD-A78322124	dobutamine	NO_Toxicity
BRD-A84481105	thioridazine	NO_Toxicity
BRD-K23192422	lestaurtinib	NO_Toxicity
BRD-K99451608	lopinavir	NO_Toxicity
BRD-K30816563	ranitidine	YES_Toxicity
BRD-K36616567	doxepin	YES_Toxicity
BRD-K81528515	nilotinib	YES_Toxicity
BRD-A77291778	cyclopentolate	NO_Toxicity
BRD-K67080878	milrinone	YES_Toxicity
BRD-K75181824	acetyl-geranygeranyl-cysteine	NO_Toxicity
BRD-K67261995	adipiodone	NO_Toxicity
BRD-K98684188	GSK-0660	NO_Toxicity
BRD-K80396088	gliquidone	NO_Toxicity
BRD-K49685476	TTNPB	NO_Toxicity
BRD-K22193694	dioxybenzone	NO_Toxicity
BRD-K21450440	benzthiazide	NO_Toxicity
BRD-K35559145	levomepromazine	NO_Toxicity
BRD-K62012036	acitretin	NO_Toxicity
BRD-K63979671	etifenin	YES_Toxicity
BRD-K19111024	clofibric-acid	NO_Toxicity
BRD-A46393198	tetramisole	YES_Toxicity
BRD-A36707673	hydroxycholesterol	NO_Toxicity
BRD-K86465814	HO-013	NO_Toxicity
BRD-K28912512	nicotinamide	NO_Toxicity
BRD-A31800922	procyclidine	NO_Toxicity
BRD-K15262564	mupirocin	NO_Toxicity
BRD-A94793051	gestrinone	NO_Toxicity
BRD-K22031190	diflunisal	NO_Toxicity
BRD-K93331255	lypressin	YES_Toxicity
BRD-K57631554	5-aminolevulinic-acid	NO_Toxicity
BRD-K67102207	phenylbutyrate	NO_Toxicity
BRD-K51418664	mitomycin-c	YES_Toxicity
BRD-K83153774	mirtazapine	YES_Toxicity
BRD-A05352148	ipratropium	YES_Toxicity
BRD-K44497846	enalapril	NO_Toxicity
BRD-K81272440	dantrolene	YES_Toxicity
BRD-K72903603	zidovudine	YES_Toxicity
BRD-K49519144	LY-2140023	NO_Toxicity
BRD-K12002134	megestrol	NO_Toxicity
BRD-A36217750	sulfinpyrazone	YES_Toxicity
BRD-K11905747	spectinomycin	YES_Toxicity
BRD-K90885812	propantheline	NO_Toxicity
BRD-K93568044	hydrocortisone	NO_Toxicity
BRD-K73978287	hydrocortisone	NO_Toxicity
BRD-A99833829	bethanechol	YES_Toxicity
BRD-A04308630	genipin	YES_Toxicity
BRD-K77695569	tiabendazole	NO_Toxicity
BRD-K06335600	tizanidine	YES_Toxicity
BRD-A24228527	ofloxacin	NO_Toxicity
BRD-K82381502	acetylcholine	NO_Toxicity
BRD-K61250553	loperamide	YES_Toxicity
BRD-K09436313	prostaglandin	NO_Toxicity
BRD-A16478930	amcinonide	NO_Toxicity
BRD-K02123250	JNJ-38877605	NO_Toxicity
BRD-K83794624	pirarubicin	YES_Toxicity
BRD-K60460488	nelfinavir	NO_Toxicity
BRD-K77286328	reversine	NO_Toxicity
BRD-A75479906	rimantadine	YES_Toxicity
BRD-A88774919	doxycycline	NO_Toxicity
BRD-A25067867	benzatropine	YES_Toxicity
BRD-K10799896	clobetasol	NO_Toxicity
BRD-K94830329	ataluren	NO_Toxicity
BRD-K52522949	NCH-51	NO_Toxicity
BRD-K09900591	caffeic-acid	NO_Toxicity
BRD-K06388322	pramipexole	NO_Toxicity
BRD-K49111258	prazosin	NO_Toxicity
BRD-K13032584	procarbazine	NO_Toxicity
BRD-K41170226	deoxycholic-acid	NO_Toxicity
BRD-K01555864	dibenzoylmethane	NO_Toxicity
BRD-K24053527	dextromethorphan	YES_Toxicity
BRD-A10188456	dexamethasone	NO_Toxicity
BRD-K13819402	desoxypeganine	YES_Toxicity
BRD-A17819071	gedunin	YES_Toxicity
BRD-A92537424	danazol	NO_Toxicity
BRD-K06467078	corynanthine	YES_Toxicity
BRD-K18135438	chenodeoxycholic-acid	NO_Toxicity
BRD-K22429181	retinol	NO_Toxicity
BRD-K56429665	calcipotriol	YES_Toxicity
BRD-K36055864	cycloheximide	YES_Toxicity
BRD-K30743633	TCPOBOP	NO_Toxicity
BRD-K43880410	pregnenolone	NO_Toxicity
BRD-K45252063	clofibrate	NO_Toxicity
BRD-K30240666	clemastine	NO_Toxicity
BRD-K08252256	diclofenac	YES_Toxicity
BRD-K45542189	diethylcarbamazine	NO_Toxicity
BRD-A77118605	D-609	NO_Toxicity
BRD-K04548931	epirubicin	YES_Toxicity
BRD-A41519720	ezetimibe	NO_Toxicity
BRD-K14880289	GW-501516	NO_Toxicity
BRD-A74667430	etodolac	YES_Toxicity
BRD-K08556791	ethoprop	YES_Toxicity
BRD-A91452556	estradiol-cypionate	NO_Toxicity
BRD-A18917088	estradiol	NO_Toxicity
BRD-A84327315	calcitriol	YES_Toxicity
BRD-K61341215	vecuronium	YES_Toxicity
BRD-K45330754	diethylstilbestrol	NO_Toxicity
BRD-K47192521	icosapent	NO_Toxicity
BRD-K93441486	diphemanil	NO_Toxicity
BRD-A44701612	dihydroergocristine	NO_Toxicity
BRD-A52886023	antimycin-a	YES_Toxicity
BRD-K86301799	dipyridamole	NO_Toxicity
BRD-K82577285	dipropyl-dopamine	NO_Toxicity
BRD-A65076780	dihydroergocristine	NO_Toxicity
BRD-K32610195	androstenedione	NO_Toxicity
BRD-A10977446	carvedilol	YES_Toxicity
BRD-A07765530	epinephrine-(racemic)	YES_Toxicity
BRD-K46056750	AZD-7762	NO_Toxicity
BRD-A85280935	quinpirole	YES_Toxicity
BRD-K94294671	OSI-027	YES_Toxicity
BRD-K53561341	aurora-a-inhibitor-i	NO_Toxicity
BRD-A29901043	KIN001-127	NO_Toxicity
BRD-K04887706	AKT-inhibitor-1-2	NO_Toxicity
BRD-K36740062	GSK-1070916	NO_Toxicity
BRD-K99291625	SB-203580	NO_Toxicity
BRD-K19540840	saracatinib	NO_Toxicity
BRD-K03670461	tyrphostin-AG-82	NO_Toxicity
BRD-K68191783	ALW-II-38-3	NO_Toxicity
BRD-K93918653	quizartinib	NO_Toxicity
BRD-A18497530	5-iodotubercidin	YES_Toxicity
BRD-K57080016	selumetinib	NO_Toxicity
BRD-K00627859	tubastatin-a	NO_Toxicity
BRD-K29313308	HDAC3-selective	NO_Toxicity
BRD-K50720187	flupirtine	NO_Toxicity
BRD-A07824748	flavanone	NO_Toxicity
BRD-K51223576	AG-99	NO_Toxicity
BRD-K35128472	2-aminopurine	YES_Toxicity
BRD-K04877770	FTase-inhibitor-B581	NO_Toxicity
BRD-K41707108	ceramide	YES_Toxicity
BRD-A15070535	bucladesine	NO_Toxicity
BRD-K13087974	CGP-52411	NO_Toxicity
BRD-A22713669	BVT-948	NO_Toxicity
BRD-K64935403	ebelactone-b	NO_Toxicity
BRD-K70327191	benzoxiquine	NO_Toxicity
BRD-A16694057	BADGE	NO_Toxicity
BRD-A70514680	articaine	NO_Toxicity
BRD-K80725632	lavendustin-c	NO_Toxicity
BRD-K52397688	amperozide	NO_Toxicity
BRD-K45861246	azaperone	YES_Toxicity
BRD-K70549064	staurosporine	NO_Toxicity
BRD-K09790412	H-9	NO_Toxicity
BRD-K17561142	amiodarone	NO_Toxicity
BRD-K43068349	AMG-9810	NO_Toxicity
BRD-A36010170	amcinonide	NO_Toxicity
BRD-A86044036	flurbiprofen-(+/-)	YES_Toxicity
BRD-A65282128	cefazolin	NO_Toxicity
BRD-K04923131	GSK-3-inhibitor-IX	YES_Toxicity
BRD-K97810537	beclomethasone-dipropionate	NO_Toxicity
BRD-A29731977	17-hydroxyprogesterone-caproate	NO_Toxicity
BRD-A62890442	3-methyl-GABA	NO_Toxicity
BRD-K61033289	15-delta-prostaglandin-j2	NO_Toxicity
BRD-K81418486	vorinostat	YES_Toxicity
BRD-A80928489	1-monopalmitin	NO_Toxicity
BRD-A75409952	wortmannin	NO_Toxicity
BRD-K35723520	darinaparsin	NO_Toxicity
BRD-A95696820	acadesine	NO_Toxicity
BRD-K04466929	Merck60	NO_Toxicity
BRD-K53855319	SRT-1720	NO_Toxicity
BRD-A97437073	rosiglitazone	NO_Toxicity
BRD-K92991072	PAC-1	NO_Toxicity
BRD-K17953061	staurosporine	NO_Toxicity
BRD-K31491153	1-phenylbiguanide	NO_Toxicity
BRD-K47983010	BX-795	NO_Toxicity
BRD-K56450366	NSC-94258	NO_Toxicity
BRD-K60690191	MPEP	NO_Toxicity
BRD-A20589515	dihydroxyphenylglycine	NO_Toxicity
BRD-A14985772	L-ascorbyl-6-palmitate	NO_Toxicity
BRD-A14792000	valsartan	NO_Toxicity
BRD-K83010055	VU-0415374-1	YES_Toxicity
BRD-K12102668	nialamide	YES_Toxicity
BRD-A46179541	doxapram	YES_Toxicity
BRD-K41410256	balsalazide	NO_Toxicity
BRD-A01320529	salmeterol	YES_Toxicity
BRD-K15891719	tenofovir	YES_Toxicity
BRD-K05673000	dicloxacillin	NO_Toxicity
BRD-K39823328	VU-0366037-2	NO_Toxicity
BRD-A11170096	pravastatin	NO_Toxicity
BRD-K30649484	mafenide	NO_Toxicity
BRD-K68756823	FR-180204	NO_Toxicity
BRD-K37456065	VU-0365114-2	YES_Toxicity
BRD-K36627727	tamibarotene	NO_Toxicity
BRD-K77390737	xanthohumol	NO_Toxicity
BRD-A03323675	ritonavir	NO_Toxicity
BRD-A09495397	bicuculline	NO_Toxicity
BRD-K63784565	10-hydroxycamptothecin	YES_Toxicity
BRD-K54256913	MK-1775	NO_Toxicity
BRD-K53414658	tivozanib	YES_Toxicity
BRD-A73859745	glycodeoxycholic-acid	NO_Toxicity
BRD-K02867583	minaprine	NO_Toxicity
BRD-K39569857	avrainvillamide-analog-3	YES_Toxicity
BRD-A70731303	avrainvillamide-analog-5	NO_Toxicity
BRD-A16700644	isoxsuprine	YES_Toxicity
BRD-K86509404	iso-olomoucine	NO_Toxicity
BRD-A95869247	indapamide	NO_Toxicity
BRD-K61691971	avrainvillamide-analog-1	NO_Toxicity
BRD-K26117720	gingerol	YES_Toxicity
BRD-K62056274	N-methylquipazine	YES_Toxicity
BRD-K61951118	FG-7142	NO_Toxicity
BRD-A18419789	etoposide	NO_Toxicity
BRD-A09925278	etilefrine	YES_Toxicity
BRD-K24576554	AT-9283	YES_Toxicity
BRD-A02367930	ethinyl-estradiol	NO_Toxicity
BRD-K78659596	ixazomib	NO_Toxicity
BRD-A92161634	scopoline	NO_Toxicity
BRD-K99595596	salsolinol	NO_Toxicity
BRD-K28168037	fenretinide	NO_Toxicity
BRD-A89434049	sarmentogenin	YES_Toxicity
BRD-K37618799	MRS-1220	NO_Toxicity
BRD-M30523314	vinorelbine	YES_Toxicity
