pert_id	TAG	pert_iname	Toxicity
BRD-K28470988	53.2791	L-690330	NO_Toxicity
BRD-K29668683	53.0806	BD-1063	YES_Toxicity
BRD-A30717181	51.7683	triamcinolone	NO_Toxicity
BRD-K93325701	51.608999999999995	damnacanthal	NO_Toxicity
BRD-K50214219	51.3406	CS-1657	NO_Toxicity
BRD-K74765201	51.0764	tomelukast	NO_Toxicity
BRD-K76205745	50.6432	losartan	YES_Toxicity
BRD-A09495397	50.5369	bicuculline	NO_Toxicity
BRD-A47513740	50.5127	calyculin	NO_Toxicity
BRD-K33226500	50.3645	indinavir	NO_Toxicity
BRD-K67566344	50.1282	KU-0063794	NO_Toxicity
BRD-A09925278	49.8688	etilefrine	YES_Toxicity
BRD-K18855837	49.2357	varenicline	YES_Toxicity
BRD-K32398298	48.1627	alprazolam	NO_Toxicity
BRD-A35338386	48.1449	NECA	YES_Toxicity
BRD-K96720755	47.9856	relcovaptan	NO_Toxicity
BRD-A65145453	47.9643	ATPA	NO_Toxicity
BRD-K96527333	47.8867	dehydroisoandosterone	NO_Toxicity
BRD-K74141488	46.952	naftifine	NO_Toxicity
BRD-K67506692	46.856	tyrphostin-AG-126	NO_Toxicity
BRD-K08556791	46.5325	ethoprop	YES_Toxicity
BRD-A99833829	46.4591	bethanechol	YES_Toxicity
BRD-K67860401	45.8856	AR-A014418	NO_Toxicity
BRD-K10176267	45.3751	L-701252	YES_Toxicity
BRD-A74500471	45.2866	ethambutol	NO_Toxicity
BRD-A42553870	44.0932	L-152804	NO_Toxicity
BRD-K00337317	43.8216	NU-7441	YES_Toxicity
BRD-A45499626	43.7575	UBP-302	NO_Toxicity
BRD-A24891640	43.0355	nimodipine	NO_Toxicity
BRD-K48059230	42.5889	YM-298198	NO_Toxicity
BRD-A67981824	42.0859	cefotaxime	NO_Toxicity
BRD-A42831637	41.7127	tetrahydrocannabinol-7-oic-acid	NO_Toxicity
BRD-A83892713	41.1773	rifampicin	NO_Toxicity
BRD-K08206212	41.0484	entecavir	YES_Toxicity
BRD-K85013741	40.2927	auraptene	NO_Toxicity
BRD-K03067624	39.5327	emetine	YES_Toxicity
BRD-K57011718	39.5259	UK-356618	NO_Toxicity
BRD-A52588987	38.9287	SKF-83566	YES_Toxicity
BRD-A72066420	38.7126	mifobate	NO_Toxicity
BRD-A01593789	38.3275	chlormadinone-acetate	NO_Toxicity
BRD-K56403959	38.1935	ZK-756326	NO_Toxicity
BRD-K82484965	38.01	carmoxirole	YES_Toxicity
BRD-K69840642	37.7597	ISOX	NO_Toxicity
BRD-A72441487	37.4489	stiripentol	NO_Toxicity
BRD-K76587808	37.1533	fraxetin	NO_Toxicity
BRD-A67373739	36.7791	AICA-ribonucleotide	NO_Toxicity
BRD-K90864987	36.5447	cobalt(II)-chloride	YES_Toxicity
BRD-K06159959	35.1925	CCMQ	NO_Toxicity
BRD-K68065987	35.1678	MK-2206	YES_Toxicity
BRD-K80527266	34.9631	triacsin-c	YES_Toxicity
BRD-K43236057	34.6411	polydatin	NO_Toxicity
BRD-K02526760	33.8998	QS-11	NO_Toxicity
BRD-K59419204	33.2054	AM-281	YES_Toxicity
BRD-K64857848	33.0653	XMD-885	YES_Toxicity
BRD-A77722753	32.8515	hydralazine	YES_Toxicity
BRD-A71799696	32.7007	BH3I-1	NO_Toxicity
BRD-K30677119	32.6652	PP-30	NO_Toxicity
BRD-K12867552	32.6595	PCI-24781	YES_Toxicity
BRD-A00993607	32.6481	alprenolol	YES_Toxicity
BRD-K59273480	32.6171	propentofylline	NO_Toxicity
BRD-K00486786	32.2655	Ro-08-2750	NO_Toxicity
BRD-K64451768	32.0854	GANT-58	NO_Toxicity
BRD-K47936004	31.4541	piribedil	NO_Toxicity
BRD-K67680372	31.2594	CI-966	NO_Toxicity
BRD-K91623615	30.9209	ABT-751	NO_Toxicity
BRD-K49448285	30.6707	bisindolylmaleimide	NO_Toxicity
BRD-A72483914	30.4236	spiroxatrine	NO_Toxicity
BRD-A78303415	30.423000000000002	hyoscyamine	YES_Toxicity
BRD-K56064827	29.8893	EI-273	NO_Toxicity
BRD-A99164655	29.5659	dihydrexidine	NO_Toxicity
BRD-K77171813	29.441999999999997	proxyfan	YES_Toxicity
BRD-A35989968	29.3547	megestrol-acetate	NO_Toxicity
BRD-K89687904	29.2342	PKCbeta-inhibitor	NO_Toxicity
BRD-A80793822	28.5431	pemoline	NO_Toxicity
BRD-K10799896	28.3542	clobetasol	NO_Toxicity
BRD-K94294671	28.1894	OSI-027	YES_Toxicity
BRD-K82731415	28.1669	olomoucine	NO_Toxicity
BRD-K10843433	28.1487	phenylbutazone	YES_Toxicity
BRD-A15931911	28.1158	bucladesine	NO_Toxicity
BRD-K43978949	28.0284	PIT	YES_Toxicity
BRD-K64341947	28.0129	CFM-1571	NO_Toxicity
BRD-M30523314	27.9557	vinorelbine	YES_Toxicity
BRD-K95655893	27.8161	MAZ-51	YES_Toxicity
BRD-K50891186	27.7304	GR-103691	YES_Toxicity
BRD-K25836724	27.1404	epitestosterone	NO_Toxicity
BRD-K01253243	27.1082	SB-590885	YES_Toxicity
BRD-K36055864	26.7147	cycloheximide	YES_Toxicity
BRD-K96809896	26.6925	SKF-86002	NO_Toxicity
BRD-A80213327	26.6678	NSC-23766	NO_Toxicity
BRD-K31920458	26.5961	mestranol	NO_Toxicity
BRD-A18043272	26.5796	phensuximide	NO_Toxicity
BRD-K87947369	26.3656	tozasertib	NO_Toxicity
BRD-A36267905	26.3155	buphenine	YES_Toxicity
BRD-K06467078	26.2965	corynanthine	YES_Toxicity
BRD-A58280226	25.4709	Y-27632	NO_Toxicity
BRD-K06208435	25.2706	YS-035	YES_Toxicity
BRD-A01643550	25.1816	prednisolone-acetate	NO_Toxicity
BRD-K70577657	25.1312	H-9	NO_Toxicity
BRD-K44442813	25.0213	pidotimod	NO_Toxicity
BRD-K62056274	24.9812	N-methylquipazine	YES_Toxicity
BRD-A11605036	24.8889	thiocolchicoside	YES_Toxicity
BRD-K69690935	24.7574	curcumin	NO_Toxicity
BRD-K59773493	24.6859	benzohydroxamic-acid	YES_Toxicity
BRD-A26095496	24.6847	clobetasol	NO_Toxicity
BRD-K66782112	24.6217	ICI-162846	NO_Toxicity
BRD-K66944906	24.2987	fraxidin	NO_Toxicity
BRD-K20152659	23.9403	dihomo-gamma-linolenic-acid	NO_Toxicity
BRD-K82109576	23.9153	vincristine	NO_Toxicity
BRD-K14204120	23.6456	ranitidine	YES_Toxicity
BRD-K10860596	23.47	granisetron	NO_Toxicity
BRD-K61480498	23.4538	epoxycholesterol	NO_Toxicity
BRD-K92577649	23.361	GBR-13069	NO_Toxicity
BRD-K08973992	22.9382	linoleic-acid	NO_Toxicity
BRD-A96456596	22.6316	FPL-55712	NO_Toxicity
BRD-A63894585	22.4752	clobetasol	NO_Toxicity
BRD-K16195444	22.408	oxymetazoline	NO_Toxicity
BRD-A82096673	22.3957	KU-C103428N	NO_Toxicity
BRD-A20527803	22.1669	IB-MECA	NO_Toxicity
BRD-K45068323	22.1087	W-13	NO_Toxicity
BRD-K96362535	22.0855	tubaic-acid	NO_Toxicity
BRD-K47328134	22.0555	lysylphenylalanyl-tyrosine	NO_Toxicity
BRD-K68756823	21.4478	FR-180204	NO_Toxicity
BRD-K61269089	21.3136	daphnetin	NO_Toxicity
BRD-K66206289	21.3097	lobeline	YES_Toxicity
BRD-A77299732	21.1929	salubrinal	NO_Toxicity
BRD-A66395008	21.1901	parthenolide	NO_Toxicity
BRD-K35430135	21.088	SR-59230A	NO_Toxicity
BRD-A69512159	20.9168	carbidopa	NO_Toxicity
BRD-K63343048	20.7607	orlistat	NO_Toxicity
BRD-K94887716	20.6926	TFMPP	NO_Toxicity
BRD-A96882008	20.658	L-732138	NO_Toxicity
BRD-K32318651	20.622	acyclovir	NO_Toxicity
BRD-K90574421	20.5236	ipsapirone	NO_Toxicity
BRD-K84566043	20.3997	fenpiverinium	NO_Toxicity
BRD-K11433652	20.335	aspirin	YES_Toxicity
BRD-K86301799	20.3292	dipyridamole	NO_Toxicity
BRD-K93441486	20.317	diphemanil	NO_Toxicity
BRD-K05658747	20.0407	raltegravir	YES_Toxicity
BRD-K26818574	19.9607	BIX-01294	NO_Toxicity
BRD-K05434375	19.8014	HA-1004	NO_Toxicity
BRD-K45252063	19.7636	clofibrate	NO_Toxicity
BRD-K69650333	19.7529	idarubicin	YES_Toxicity
BRD-K30020243	19.627	aliskiren	NO_Toxicity
BRD-K36638830	19.5575	anabasine	YES_Toxicity
BRD-K49456190	19.4706	prima-1-met	NO_Toxicity
BRD-K80348542	19.1046	cephaeline	YES_Toxicity
BRD-K11630072	19.0103	carmofur	YES_Toxicity
BRD-K84658672	18.8418	nateglinide	NO_Toxicity
BRD-K53123955	18.8068	niridazole	NO_Toxicity
BRD-K36324071	18.6212	NF-449	NO_Toxicity
BRD-A62184259	18.5992	cycloheximide	YES_Toxicity
BRD-K14888893	18.5294	minoxidil	NO_Toxicity
BRD-K39356024	18.4651	pregnenolone	NO_Toxicity
BRD-K14681867	18.4645	somatostatin	NO_Toxicity
BRD-K26429091	18.4634	J-104129	NO_Toxicity
BRD-K99818283	18.3923	PIK-90	NO_Toxicity
BRD-K71860425	18.3527	CDK2-5-inhibitor	NO_Toxicity
BRD-A49046702	18.0981	SKF-89976A	NO_Toxicity
BRD-K63784565	18.0141	10-hydroxycamptothecin	YES_Toxicity
BRD-K32977963	17.9852	eugenol	NO_Toxicity
BRD-A41451487	17.9732	PK-11195	YES_Toxicity
BRD-K14329163	17.938	BAY-K-8644-(S)-(-)	NO_Toxicity
BRD-A10969569	17.6968	ambelline	YES_Toxicity
BRD-K92678294	17.6602	irilin-a	NO_Toxicity
BRD-K50325075	17.4134	UCL-2077	NO_Toxicity
BRD-K11399644	17.2565	phenformin	NO_Toxicity
BRD-K71499074	17.2235	diclofenamide	NO_Toxicity
BRD-K22828899	17.1744	TUL-XXI039	NO_Toxicity
BRD-A22684332	17.1499	procaterol	NO_Toxicity
BRD-A64227845	17.0647	SKF-77434	YES_Toxicity
BRD-K26664453	17.0417	cytochalasin-b	YES_Toxicity
BRD-K59753853	17.0356	MDL-29951	NO_Toxicity
BRD-K03319035	17.0187	maprotiline	NO_Toxicity
BRD-K24859147	16.6744	KIN001-242	NO_Toxicity
BRD-K09499853	16.5399	KU-0060648	YES_Toxicity
BRD-K75532464	16.4781	FTI-276	NO_Toxicity
BRD-A57457122	16.4707	VU-0400071-3	NO_Toxicity
BRD-A85472596	16.3952	L-670596	YES_Toxicity
BRD-A09161221	16.2918	nomilin	YES_Toxicity
BRD-A80928489	16.2106	1-monopalmitin	NO_Toxicity
BRD-K60640630	16.1829	mometasone	NO_Toxicity
BRD-K95992530	16.1291	cyclo-[Arg-Gly-Asp-D-Phe-Val]	NO_Toxicity
BRD-A03359064	15.9881	ICI-89406	NO_Toxicity
BRD-K80778372	15.985	Ro-19-4605	NO_Toxicity
BRD-K10670311	15.9549	sulfasalazine	NO_Toxicity
BRD-K84266862	15.9187	BRL-50481	NO_Toxicity
BRD-A98283014	15.7976	calmidazolium	NO_Toxicity
BRD-K86204871	15.7735	terconazole	NO_Toxicity
BRD-A80574334	15.5466	oxalomalic-acid	YES_Toxicity
BRD-A37780065	15.33	triamcinolone	NO_Toxicity
BRD-A70514680	15.1352	articaine	NO_Toxicity
BRD-K20714604	15.081	RS-56812	NO_Toxicity
BRD-A00267231	15.03	hemado	YES_Toxicity
BRD-K20168442	14.9736	vecuronium	YES_Toxicity
BRD-K25906698	14.9183	immepip	NO_Toxicity
BRD-K85985071	14.8224	ellipticine	NO_Toxicity
BRD-A65767837	14.8053	hydrocortisone-acetate	NO_Toxicity
BRD-K41564320	14.7041	purvalanol-b	NO_Toxicity
BRD-A62890442	14.5857	3-methyl-GABA	NO_Toxicity
BRD-K76568384	14.5018	PHTPP	YES_Toxicity
BRD-A20131130	14.2127	2',5'-dideoxyadenosine	NO_Toxicity
BRD-K37130656	14.1417	rivaroxaban	NO_Toxicity
BRD-A83431637	14.1043	resmethrin	YES_Toxicity
BRD-K26548821	13.8178	quinpirol-(-)	YES_Toxicity
BRD-K64614248	13.786	salicin	NO_Toxicity
BRD-K79759585	13.6933	sildenafil	YES_Toxicity
BRD-A49370193	13.625	Ro-60-0175	NO_Toxicity
BRD-K34437622	13.6015	5-FP	NO_Toxicity
BRD-K99411983	13.5837	lumicolchicine	NO_Toxicity
BRD-A10355991	13.5711	norketamine	NO_Toxicity
BRD-A26097136	13.3347	bulleyaconitine-a	YES_Toxicity
BRD-K27871032	13.3034	lysergol	NO_Toxicity
BRD-A01787639	13.2988	naftopidil	NO_Toxicity
BRD-K59637651	13.0736	NSC-119889	NO_Toxicity
BRD-K54316499	13.0732	tolterodine	NO_Toxicity
BRD-K81521265	13.0485	dicyclohexylurea	NO_Toxicity
BRD-A62326914	12.9549	paroxetine	NO_Toxicity
BRD-K82143716	12.9083	flucytosine	YES_Toxicity
BRD-A23637604	12.8622	oxymetholone	NO_Toxicity
BRD-K18678457	12.7204	ZD-7288	NO_Toxicity
BRD-A54490543	12.6631	pirlindole	NO_Toxicity
BRD-K48935217	12.6272	epothilone	YES_Toxicity
BRD-A35623999	12.6178	CGP-37157	NO_Toxicity
BRD-A35108200	12.5884	dexamethasone	NO_Toxicity
BRD-K28143534	12.5574	cyproheptadine	YES_Toxicity
BRD-A02189320	12.4931	met-leu-phe	NO_Toxicity
BRD-A02176148	12.4453	tubaic-acid	NO_Toxicity
BRD-K00959089	12.3796	thenoyltrifluoroacetone	YES_Toxicity
BRD-K79092138	12.3703	nitrofural	YES_Toxicity
BRD-K74284736	12.3242	L-689560	NO_Toxicity
BRD-A89175223	12.3195	bisoprolol	NO_Toxicity
BRD-A55369275	12.2643	CGP-54626	NO_Toxicity
BRD-A76093993	12.1876	cromakalim	NO_Toxicity
BRD-A66927094	12.0922	nemonapride	NO_Toxicity
BRD-K29178788	12.0443	dictamnine	NO_Toxicity
BRD-A11609859	12.0118	SB-205607	NO_Toxicity
BRD-K91290917	11.8812	amodiaquine	NO_Toxicity
BRD-K67352070	11.875	TC-2559	NO_Toxicity
BRD-K95202259	11.8109	ML-3163	NO_Toxicity
BRD-K68202742	11.7019	trichostatin-a	YES_Toxicity
BRD-K93618743	11.6922	ipriflavone	NO_Toxicity
BRD-K32584078	11.6821	BML-257	NO_Toxicity
BRD-K86595100	11.5647	chlordiazepoxide	YES_Toxicity
BRD-A85234536	11.4628	N6-cyclopentyladenosine	YES_Toxicity
BRD-A18620900	11.4385	estriol	NO_Toxicity
BRD-K17294426	11.2814	clebopride	YES_Toxicity
BRD-A85025557	11.2777	NCS-382	NO_Toxicity
BRD-K70330367	10.9639	amantadine	YES_Toxicity
BRD-K86882815	10.9274	cabergoline	YES_Toxicity
BRD-K76064317	10.904000000000002	tyrphostin-AG-1296	NO_Toxicity
BRD-K68402494	10.8847	ML-9	NO_Toxicity
BRD-A95696066	10.8524	nisoxetine	YES_Toxicity
BRD-K01638814	10.8254	rilmenidine	YES_Toxicity
BRD-K37691127	10.6565	hinokitiol	NO_Toxicity
BRD-K99946902	10.5965	hexylresorcinol	NO_Toxicity
BRD-K51575138	10.5213	TPCA-1	NO_Toxicity
BRD-A38747044	10.4199	KU-14R	NO_Toxicity
BRD-K35377380	10.3978	I-OMe-AG-538	NO_Toxicity
BRD-A54487287	10.3877	cortisone-acetate	NO_Toxicity
BRD-A04668240	10.3071	CGP-52432	NO_Toxicity
BRD-A16754160	10.2977	ampicillin	NO_Toxicity
BRD-K37312348	10.1767	kenpaullone	NO_Toxicity
BRD-K48115423	9.9292	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol	NO_Toxicity
BRD-A91992993	9.921	siguazodan	NO_Toxicity
BRD-K13211965	9.8702	L-741742	NO_Toxicity
BRD-K04218075	9.8413	clomifene	NO_Toxicity
BRD-K32247306	9.8014	primidone	YES_Toxicity
BRD-K73196317	9.7956	urapidil	NO_Toxicity
BRD-K37456065	9.7627	VU-0365114-2	YES_Toxicity
BRD-A63546914	9.513	Ro-04-5595	YES_Toxicity
BRD-K94379058	9.3971	BML-190	YES_Toxicity
BRD-K46142322	9.3466	RS-67333	NO_Toxicity
BRD-A22769835	9.3381	homochlorcyclizine	NO_Toxicity
BRD-K38323065	9.2769	phenacetin	NO_Toxicity
BRD-A08877921	9.2338	cephalotaxine	YES_Toxicity
BRD-K94689771	9.2157	pinocembrin	NO_Toxicity
BRD-K08619574	9.2087	thioproperazine	NO_Toxicity
BRD-A65739223	9.1426	ramipril	NO_Toxicity
BRD-A74975734	9.12	homatropine	NO_Toxicity
BRD-A13133631	9.0774	fluorometholone	NO_Toxicity
BRD-A29322418	9.0715	canrenoic-acid	NO_Toxicity
BRD-K49865102	9.0213	PD-0325901	NO_Toxicity
BRD-K02953697	8.9512	naringin	NO_Toxicity
BRD-K41051431	8.935	mecillinam	NO_Toxicity
BRD-A17453586	8.8326	MDL-72832	NO_Toxicity
BRD-K83023055	8.7649	GR-135531	NO_Toxicity
BRD-K13049116	8.7344	BMS-754807	YES_Toxicity
BRD-K35687265	8.7033	ON-01910	NO_Toxicity
BRD-K46435977	8.5976	valaciclovir	NO_Toxicity
BRD-K10136726	8.5581	tosyllysyl-chloromethyl-ketone	NO_Toxicity
BRD-K49027941	8.5495	PSB-1115	NO_Toxicity
BRD-K07888196	8.4919	tyrphostin-AG-538	NO_Toxicity
BRD-K93568044	8.4767	hydrocortisone	NO_Toxicity
BRD-K94919853	8.4495	10H-phenothiazin-10-yl)(p-tolyl)methanone	NO_Toxicity
BRD-K91301684	8.4201	noscapine	YES_Toxicity
BRD-K12765235	8.3744	carbenoxolone	NO_Toxicity
BRD-K69932463	8.3461	AZD-8055	NO_Toxicity
BRD-K69470111	8.3455	montelukast	NO_Toxicity
BRD-K69032158	8.1906	diprotin-a	NO_Toxicity
BRD-A32349859	8.1844	methyl-angolensate	YES_Toxicity
BRD-K26801045	8.1169	pipamperone	YES_Toxicity
BRD-A76019558	8.1043	ketoconazole	YES_Toxicity
BRD-K86509404	8.0184	iso-olomoucine	NO_Toxicity
BRD-K15891719	7.9634	tenofovir	YES_Toxicity
BRD-K67277431	7.9424	picotamide	NO_Toxicity
BRD-K86003836	7.9281	flubendazole	NO_Toxicity
BRD-K95676198	7.8714	JAK3-inhibitor-V	NO_Toxicity
BRD-A83855350	7.8576	naltrexone	NO_Toxicity
BRD-K80315159	7.8295	DPPE	NO_Toxicity
BRD-K79353516	7.7631	indolophenanthridine	YES_Toxicity
BRD-A49447682	7.7437	desoximetasone	NO_Toxicity
BRD-A33711280	7.7194	metixene	NO_Toxicity
BRD-K57631554	7.6996	5-aminolevulinic-acid	NO_Toxicity
BRD-A82329351	7.6963	cycloheximide	NO_Toxicity
BRD-K51033547	7.6673	tramadol	YES_Toxicity
BRD-K57718010	7.611000000000001	pentylenetetrazol	YES_Toxicity
BRD-K66093087	7.6022	FGIN-1-43	YES_Toxicity
BRD-A80383043	7.599	4-carboxy-3-hydroxyphenylglycine-(RS)	NO_Toxicity
BRD-A15034104	7.5863	bergenin	NO_Toxicity
BRD-K51941867	7.5743	LM-1685	NO_Toxicity
BRD-K81418486	7.5557	vorinostat	YES_Toxicity
BRD-K79905821	7.5292	gabazine	NO_Toxicity
BRD-A92537424	7.5276	danazol	NO_Toxicity
BRD-K69763916	7.4197	LY-341495	NO_Toxicity
BRD-K87142802	7.401	veliparib	YES_Toxicity
BRD-K86887724	7.3312	dofetilide	NO_Toxicity
BRD-K96271548	7.3059	coumaric-acid	NO_Toxicity
BRD-A19374631	7.2768	vinpocetine	NO_Toxicity
BRD-K72676686	7.2492	fluvoxamine	NO_Toxicity
BRD-A63346720	7.2318	rimcazole	NO_Toxicity
BRD-A71203467	7.1812	L-stepholidine	NO_Toxicity
BRD-A36707673	7.1436	hydroxycholesterol	NO_Toxicity
BRD-A02180903	7.1265	betamethasone	NO_Toxicity
BRD-K39733634	7.0773	L-161982	NO_Toxicity
BRD-A47706533	7.0472	buthionine-sulfoximine	NO_Toxicity
BRD-A84493640	7.0472	atovaquone	YES_Toxicity
BRD-K73319509	7.0269	PF-04217903	NO_Toxicity
BRD-K90543092	6.9089	levonorgestrel	NO_Toxicity
BRD-K16444452	6.899	ibudilast	NO_Toxicity
BRD-A45889380	6.8415	mepacrine	NO_Toxicity
BRD-K58299615	6.8336	Ro-90-7501	YES_Toxicity
BRD-K81847782	6.7351	scandenin	NO_Toxicity
BRD-K76274772	6.7003	MAPP-D-erythro	NO_Toxicity
BRD-A24643465	6.6596	homoharringtonine	YES_Toxicity
BRD-K53878242	6.6367	MMPX	YES_Toxicity
BRD-K96144918	6.6244	mead-acid	NO_Toxicity
BRD-K93188295	6.5892	ARC-239	NO_Toxicity
BRD-K56509348	6.5743	BMS-182874	NO_Toxicity
BRD-K59184148	6.5027	SB-216763	NO_Toxicity
BRD-A15914070	6.4318	4-hydroxy-2-nonenal	NO_Toxicity
BRD-K76534306	6.4244	enrofloxacin	NO_Toxicity
BRD-A79672927	6.3502	tropicamide	NO_Toxicity
BRD-K96402602	6.3425	farnesylthiotriazole	YES_Toxicity
BRD-K02123250	6.3425	JNJ-38877605	NO_Toxicity
BRD-A12560204	6.3375	nitrendipine	NO_Toxicity
BRD-K35723520	6.3161	darinaparsin	NO_Toxicity
BRD-M41783010	6.272	acamprosate	NO_Toxicity
BRD-K99615199	6.2368	medroxyprogesterone	NO_Toxicity
BRD-K03642198	6.2349	AY-9944	YES_Toxicity
BRD-K60219430	6.2341	serdemetan	NO_Toxicity
BRD-K49294207	6.1712	BIBU-1361	NO_Toxicity
BRD-A35511923	6.1327	L-803087	YES_Toxicity
BRD-A07000685	6.1311	hydrocortisone-hemisuccinate	NO_Toxicity
BRD-K66019333	6.1079	oxantel	YES_Toxicity
BRD-A77050075	6.0958	heraclenol	NO_Toxicity
BRD-K31283835	6.0606	tofacitinib	NO_Toxicity
BRD-K01436366	6.0254	XMD-1150	NO_Toxicity
BRD-A52193669	6.0175	withaferin-a	YES_Toxicity
BRD-K20995441	6.0078	U-54494A	NO_Toxicity
BRD-A46186775	5.9312	hydrocortisone-phosphate	NO_Toxicity
BRD-K15791587	5.9197	L-733060	NO_Toxicity
BRD-A10070317	5.9197	propranolol	YES_Toxicity
BRD-K91904471	5.9042	SD-169	NO_Toxicity
BRD-K45330754	5.9006	diethylstilbestrol	NO_Toxicity
BRD-K76133116	5.8913	benzydamine	NO_Toxicity
BRD-K98426715	5.8844	tubacin	NO_Toxicity
BRD-K67043667	5.8424	altretamine	NO_Toxicity
BRD-K72029282	5.8424	probucol	NO_Toxicity
BRD-A38749782	5.8168	fludrocortisone-acetate	NO_Toxicity
BRD-A61392169	5.7933	eliprodil	NO_Toxicity
BRD-K62374253	5.7787	rufloxacin	NO_Toxicity
BRD-A84389633	5.7437	tropanyl-3,5-dimethylbenzoate	YES_Toxicity
BRD-A14208071	5.7435	oxyphenonium	NO_Toxicity
BRD-K47780086	5.6846	penciclovir	NO_Toxicity
BRD-A66563878	5.6782	medetomidine	YES_Toxicity
BRD-K77625572	5.6378	etomoxir	NO_Toxicity
BRD-K96740444	5.6378	itopride	NO_Toxicity
BRD-A81772229	5.6209	simvastatin	NO_Toxicity
BRD-K06080977	5.6025	eicosatetraynoic-acid	NO_Toxicity
BRD-K67868012	5.5474	PI-103	NO_Toxicity
BRD-K51677086	5.5332	erythromycin-ethylsuccinate	NO_Toxicity
BRD-K10016611	5.4968	pyridine-2-aldoxime	NO_Toxicity
BRD-K00656370	5.4394	6-aminochrysene	NO_Toxicity
BRD-K99595596	5.4264	salsolinol	NO_Toxicity
BRD-K96119599	5.3559	leucodin	NO_Toxicity
BRD-A23290232	5.2854	westcort	NO_Toxicity
BRD-A79226577	5.2854	tropisetron	NO_Toxicity
BRD-K46317332	5.2475	proadifen	NO_Toxicity
BRD-K62929068	5.2474	6-benzylaminopurine	NO_Toxicity
BRD-A90515964	5.2303	guaifenesin	NO_Toxicity
BRD-K03981224	5.2149	ethisterone	NO_Toxicity
BRD-A80151636	5.2026	bromocriptine	NO_Toxicity
BRD-K72238567	5.178999999999999	fludarabine	YES_Toxicity
BRD-A55756846	5.1092	H-7	NO_Toxicity
BRD-K02130563	5.1092	panobinostat	YES_Toxicity
BRD-A74904029	5.0966	EI-231	NO_Toxicity
BRD-A01317026	5.0388	7,8-dihydro-L-biopterin	NO_Toxicity
BRD-K93201660	4.8978	ML-7	NO_Toxicity
BRD-K59522102	4.8399	piperine	NO_Toxicity
BRD-K11129031	4.7983	gemfibrozil	NO_Toxicity
BRD-A29260609	4.7569	acebutolol	NO_Toxicity
BRD-K62965247	4.7292	tipifarnib-P2	NO_Toxicity
BRD-K83010055	4.7216	VU-0415374-1	YES_Toxicity
BRD-K80738081	4.7216	resveratrol	NO_Toxicity
BRD-A47598013	4.6864	citalopram	NO_Toxicity
BRD-K79759031	4.6159	artesunate	NO_Toxicity
BRD-K40782193	4.5629	QX-222	YES_Toxicity
BRD-K17823458	4.5455	danoprevir	NO_Toxicity
BRD-K69023402	4.4535	thapsigargin	YES_Toxicity
BRD-A93424738	4.3549	dexamethasone-acetate	NO_Toxicity
BRD-A56987319	4.3331	SQ-22536	NO_Toxicity
BRD-K59650319	4.3266	YM-298198	NO_Toxicity
BRD-A45543382	4.2969	metrizamide	NO_Toxicity
BRD-K55301415	4.2453	abiraterone	NO_Toxicity
BRD-K51095933	4.2283	estropipate	NO_Toxicity
BRD-K47192521	4.1931	icosapent	NO_Toxicity
BRD-K84175871	4.1931	pseudoephedrine	NO_Toxicity
BRD-K27305650	4.1918	LY-294002	YES_Toxicity
BRD-A50684349	4.1913	fenoldopam	YES_Toxicity
